topology,algorithm,traffic,inj_rate,latency,energy,status
mesh44,dor,uniform,0.01,19.1623,NA,OK
mesh44,dor,uniform,0.02,19.8276,NA,OK
mesh44,dor,uniform,0.05,19.323,NA,OK
mesh44,dor,uniform,0.1,19.4542,NA,OK
mesh44,dor,uniform,0.15,19.9467,NA,OK
mesh44,dor,uniform,0.2,19.8683,NA,OK
mesh44,dor,uniform,0.3,20.7208,NA,OK
mesh44,dor,transpose,0.01,19.1429,NA,OK
mesh44,dor,transpose,0.02,20.2382,NA,OK
mesh44,dor,transpose,0.05,19.6809,NA,OK
mesh44,dor,transpose,0.1,19.7058,NA,OK
mesh44,dor,transpose,0.15,21.0514,NA,OK
mesh44,dor,transpose,0.2,36.6652,NA,OK
mesh44,dor,transpose,0.3,72.6544,NA,OK
mesh44,dor,hotspot,0.01,20.2876,NA,OK
mesh44,dor,hotspot,0.02,20.2006,NA,OK
mesh44,dor,hotspot,0.05,67.6738,NA,OK
mesh44,dor,hotspot,0.1,180.087,NA,OK
mesh44,dor,hotspot,0.15,251.377,NA,OK
mesh44,dor,hotspot,0.2,287.404,NA,OK
mesh44,dor,hotspot,0.3,362.044,NA,OK
mesh44,adaptive_xy_yx,uniform,0.01,19.1046,NA,OK
mesh44,adaptive_xy_yx,uniform,0.02,19.4075,NA,OK
mesh44,adaptive_xy_yx,uniform,0.05,19.6321,NA,OK
mesh44,adaptive_xy_yx,uniform,0.1,19.7802,NA,OK
mesh44,adaptive_xy_yx,uniform,0.15,20.2803,NA,OK
mesh44,adaptive_xy_yx,uniform,0.2,20.9359,NA,OK
mesh44,adaptive_xy_yx,uniform,0.3,24.1458,NA,OK
mesh44,adaptive_xy_yx,transpose,0.01,19.1429,NA,OK
mesh44,adaptive_xy_yx,transpose,0.02,20.232,NA,OK
mesh44,adaptive_xy_yx,transpose,0.05,19.6835,NA,OK
mesh44,adaptive_xy_yx,transpose,0.1,19.839,NA,OK
mesh44,adaptive_xy_yx,transpose,0.15,20.4464,NA,OK
mesh44,adaptive_xy_yx,transpose,0.2,22.6817,NA,OK
mesh44,adaptive_xy_yx,transpose,0.3,67.4814,NA,OK
mesh44,adaptive_xy_yx,hotspot,0.01,20.3203,NA,OK
mesh44,adaptive_xy_yx,hotspot,0.02,20.5047,NA,OK
mesh44,adaptive_xy_yx,hotspot,0.05,61.8341,NA,OK
mesh44,adaptive_xy_yx,hotspot,0.1,140.206,NA,OK
mesh44,adaptive_xy_yx,hotspot,0.15,194.021,NA,OK
mesh44,adaptive_xy_yx,hotspot,0.2,245.261,NA,OK
mesh44,adaptive_xy_yx,hotspot,0.3,326.953,NA,OK
mesh44,min_adapt,uniform,0.01,19.3961,NA,OK
mesh44,min_adapt,uniform,0.02,20.326,NA,OK
mesh44,min_adapt,uniform,0.05,19.9572,NA,OK
mesh44,min_adapt,uniform,0.1,20.4197,NA,OK
mesh44,min_adapt,uniform,0.15,21.6157,NA,OK
