topo,k,n,algo,traffic,inj_rate,seed,latency,accepted,hops,injected
mesh,4,2,dor,hotspot,0.01,0,19.6634,0.00996791,3.49943,0.00995955
mesh,4,2,dor,hotspot,0.01,1,19.6538,0.0100112,3.49828,0.0100119
mesh,4,2,dor,hotspot,0.01,2,19.6853,0.0100587,3.50374,0.0100535
mesh,4,2,dor,hotspot,0.01,3,19.671,0.00997368,3.50159,0.00997331
mesh,4,2,dor,hotspot,0.01,4,19.6329,0.0100344,3.49524,0.0100353
mesh,4,2,dor,hotspot,0.02,0,20.6188,0.0199467,3.49485,0.01995
mesh,4,2,dor,hotspot,0.02,1,20.6925,0.0200738,3.50539,0.0200864
mesh,4,2,dor,hotspot,0.02,2,20.6508,0.0199456,3.5041,0.0199518
mesh,4,2,dor,hotspot,0.02,3,20.6586,0.0200998,3.50213,0.0201043
mesh,4,2,dor,hotspot,0.02,4,20.6707,0.0200973,3.49977,0.0200898
mesh,4,2,dor,hotspot,0.05,0,478.158,0,0,0.0309375
mesh,4,2,dor,hotspot,0.05,1,562.43,0,0,0.03125
mesh,4,2,dor,hotspot,0.05,2,489.386,0,0,0.0325625
mesh,4,2,dor,hotspot,0.05,3,509.906,0,0,0.0309375
mesh,4,2,dor,hotspot,0.05,4,569.542,0,0,0.030625
mesh,4,2,dor,hotspot,0.1,0,437.674,0,0,0.0348125
mesh,4,2,dor,hotspot,0.1,1,479.449,0,0,0.03475
mesh,4,2,dor,hotspot,0.1,2,471.373,0,0,0.0348437
mesh,4,2,dor,hotspot,0.1,3,475.414,0,0,0.0348125
mesh,4,2,dor,hotspot,0.1,4,473.931,0,0,0.0347187
mesh,4,2,dor,hotspot,0.2,0,600.421,0,0,0.0349062
mesh,4,2,dor,hotspot,0.2,1,653.036,0,0,0.034875
mesh,4,2,dor,hotspot,0.2,2,640.16,0,0,0.0349375
mesh,4,2,dor,hotspot,0.2,3,651.553,0,0,0.034875
mesh,4,2,dor,hotspot,0.2,4,640.048,0,0,0.0348437
mesh,4,2,dor,hotspot,0.3,0,656.49,0,0,0.035
mesh,4,2,dor,hotspot,0.3,1,747.089,0,0,0.0349375
mesh,4,2,dor,hotspot,0.3,2,389.871,0,0,0.0386875
mesh,4,2,dor,hotspot,0.3,3,771.188,0,0,0.0349062
mesh,4,2,dor,hotspot,0.3,4,750.044,0,0,0.0348437
mesh,4,2,dor,transpose,0.01,0,19.5408,0.0100039,3.50725,0.0100029
mesh,4,2,dor,transpose,0.01,1,19.5322,0.0099871,3.50538,0.00998611
mesh,4,2,dor,transpose,0.01,2,19.563,0.0100163,3.51151,0.0100178
mesh,4,2,dor,transpose,0.01,3,19.5209,0.0100357,3.50305,0.0100346
mesh,4,2,dor,transpose,0.01,4,19.5082,0.0100179,3.50052,0.0100172
mesh,4,2,dor,transpose,0.02,0,19.5044,0.0199607,3.49834,0.0199605
mesh,4,2,dor,transpose,0.02,1,19.5519,0.0200421,3.50777,0.0200409
mesh,4,2,dor,transpose,0.02,2,19.5064,0.020054,3.49869,0.0200615
mesh,4,2,dor,transpose,0.02,3,19.515,0.0200559,3.50047,0.0200501
mesh,4,2,dor,transpose,0.02,4,19.493,0.0200322,3.49609,0.0200348
mesh,4,2,dor,transpose,0.05,0,19.6144,0.0499998,3.50521,0.0500195
mesh,4,2,dor,transpose,0.05,1,19.5833,0.0501739,3.49891,0.0501576
mesh,4,2,dor,transpose,0.05,2,19.5691,0.0499852,3.4963,0.0499725
mesh,4,2,dor,transpose,0.05,3,19.5594,0.0500495,3.4943,0.050042
mesh,4,2,dor,transpose,0.05,4,19.5989,0.0500337,3.50256,0.0500406
mesh,4,2,dor,transpose,0.1,0,20.4867,0.0999501,3.49974,0.0999516
mesh,4,2,dor,transpose,0.1,1,20.5211,0.100237,3.50199,0.10025
mesh,4,2,dor,transpose,0.1,2,20.4768,0.100051,3.49727,0.100045
mesh,4,2,dor,transpose,0.1,3,20.4449,0.10009,3.49708,0.100079
mesh,4,2,dor,transpose,0.1,4,20.4822,0.100008,3.49862,0.10002
mesh,4,2,dor,transpose,0.2,0,483.597,0,0,0.175009
mesh,4,2,dor,transpose,0.2,1,517.36,0,0,0.174795
mesh,4,2,dor,transpose,0.2,2,483.41,0,0,0.175759
mesh,4,2,dor,transpose,0.2,3,495.787,0,0,0.173509
mesh,4,2,dor,transpose,0.2,4,525.506,0,0,0.174884
mesh,4,2,dor,transpose,0.3,0,561.062,0,0,0.214625
mesh,4,2,dor,transpose,0.3,1,519.405,0,0,0.216438
mesh,4,2,dor,transpose,0.3,2,555.002,0,0,0.212438
mesh,4,2,dor,transpose,0.3,3,585.829,0,0,0.214875
mesh,4,2,dor,transpose,0.3,4,624.311,0,0,0.210187
mesh,4,2,dor,uniform,0.01,0,19.5084,0.0100171,3.50014,0.0100096
mesh,4,2,dor,uniform,0.01,1,19.5158,0.00997058,3.50178,0.00997411
mesh,4,2,dor,uniform,0.01,2,19.5169,0.0100382,3.50196,0.0100353
mesh,4,2,dor,uniform,0.01,3,19.4829,0.0100058,3.49491,0.0100157
mesh,4,2,dor,uniform,0.01,4,19.5343,0.0100759,3.50539,0.0100749
mesh,4,2,dor,uniform,0.02,0,19.5298,0.0199809,3.50282,0.0199861
mesh,4,2,dor,uniform,0.02,1,19.4917,0.0200097,3.49517,0.020013
mesh,4,2,dor,uniform,0.02,2,19.5118,0.0200208,3.49927,0.0200166
mesh,4,2,dor,uniform,0.02,3,19.4874,0.0201508,3.4944,0.020151
mesh,4,2,dor,uniform,0.02,4,19.51,0.0200368,3.49885,0.0200326
mesh,4,2,dor,uniform,0.05,0,19.5345,0.0499304,3.49798,0.0499354
mesh,4,2,dor,uniform,0.05,1,19.544,0.0501122,3.49979,0.0501256
mesh,4,2,dor,uniform,0.05,2,19.5587,0.0499544,3.50285,0.0499628
mesh,4,2,dor,uniform,0.05,3,19.541,0.0501877,3.49942,0.0501773
mesh,4,2,dor,uniform,0.05,4,19.535,0.0501136,3.49802,0.0501016
mesh,4,2,dor,uniform,0.1,0,19.6383,0.0998815,3.49953,0.0998766
mesh,4,2,dor,uniform,0.1,1,19.6366,0.100205,3.49888,0.100216
mesh,4,2,dor,uniform,0.1,2,19.6418,0.100012,3.50021,0.10001
mesh,4,2,dor,uniform,0.1,3,19.6336,0.100128,3.49887,0.100147
mesh,4,2,dor,uniform,0.1,4,19.6611,0.100037,3.50427,0.10007
mesh,4,2,dor,uniform,0.2,0,20.3708,0.199991,3.49852,0.199992
mesh,4,2,dor,uniform,0.2,1,20.3745,0.200216,3.49879,0.200204
mesh,4,2,dor,uniform,0.2,2,20.3752,0.199995,3.49818,0.200068
mesh,4,2,dor,uniform,0.2,3,20.3784,0.200102,3.49957,0.200107
mesh,4,2,dor,uniform,0.2,4,20.3773,0.20015,3.49932,0.20015
mesh,4,2,romm,hotspot,0.01,0,19.8554,0.00997425,3.50206,0.00996425
mesh,4,2,romm,hotspot,0.01,1,19.8158,0.00999479,3.4959,0.00999754
mesh,4,2,romm,hotspot,0.01,2,19.8578,0.0100617,3.5056,0.0100587
mesh,4,2,romm,hotspot,0.01,3,19.8436,0.00998771,3.50277,0.00998995
mesh,4,2,romm,hotspot,0.01,4,19.8163,0.0100056,3.4971,0.0100041
