algo,traffic,rate,seed,latency
gnn_port_score_route_8x8_v4,uniform,0.01,3,33.4976
gnn_port_score_route_8x8_v4,uniform,0.01,2,33.524
gnn_port_score_route_8x8_v4,uniform,0.01,1,33.5138
gnn_port_score_route_8x8_v4,uniform,0.01,0,33.4984
gnn_port_score_route_8x8_v4,uniform,0.05,0,-1
gnn_port_score_route_8x8_v4,uniform,0.05,1,-1
gnn_port_score_route_8x8_v4,uniform,0.05,2,45.9633
gnn_port_score_route_8x8_v4,uniform,0.05,3,45.5317
gnn_port_score_route_8x8_v4,uniform,0.05,4,44.1208
gnn_port_score_route_8x8_v4,uniform,0.1,0,46.8797
gnn_port_score_route_8x8_v4,uniform,0.1,1,53.5098
gnn_port_score_route_8x8_v4,uniform,0.1,2,42.0706
gnn_port_score_route_8x8_v4,uniform,0.1,3,44.2286
gnn_port_score_route_8x8_v4,uniform,0.1,4,42.5084
gnn_port_score_route_8x8_v4,uniform,0.2,0,38.668
gnn_port_score_route_8x8_v4,uniform,0.2,1,41.8709
gnn_port_score_route_8x8_v4,uniform,0.2,2,39.5478
gnn_port_score_route_8x8_v4,uniform,0.2,3,54.098
gnn_port_score_route_8x8_v4,uniform,0.2,4,46.3045
gnn_port_score_route_8x8_v4,uniform,0.01,4,33.4846
gnn_port_score_route_8x8_v4,transpose,0.01,2,33.5372
gnn_port_score_route_8x8_v4,transpose,0.01,0,33.5184
gnn_port_score_route_8x8_v4,transpose,0.01,1,33.4274
gnn_port_score_route_8x8_v4,transpose,0.05,0,280.262
gnn_port_score_route_8x8_v4,transpose,0.05,1,280.371
gnn_port_score_route_8x8_v4,transpose,0.05,2,264.209
gnn_port_score_route_8x8_v4,transpose,0.05,3,287.736
gnn_port_score_route_8x8_v4,transpose,0.1,0,404.122
gnn_port_score_route_8x8_v4,transpose,0.05,4,266.35
gnn_port_score_route_8x8_v4,transpose,0.1,1,418.679
gnn_port_score_route_8x8_v4,transpose,0.1,2,401.135
gnn_port_score_route_8x8_v4,transpose,0.1,3,394.336
gnn_port_score_route_8x8_v4,transpose,0.1,4,416.499
gnn_port_score_route_8x8_v4,transpose,0.2,0,594.769
gnn_port_score_route_8x8_v4,transpose,0.2,1,604.129
gnn_port_score_route_8x8_v4,transpose,0.2,2,572.569
gnn_port_score_route_8x8_v4,transpose,0.2,3,593.005
gnn_port_score_route_8x8_v4,hotspot,0.01,0,173.692
gnn_port_score_route_8x8_v4,transpose,0.2,4,597.56
gnn_port_score_route_8x8_v4,hotspot,0.01,2,229.515
gnn_port_score_route_8x8_v4,hotspot,0.01,1,180.204
gnn_port_score_route_8x8_v4,hotspot,0.01,3,164.331
gnn_port_score_route_8x8_v4,hotspot,0.01,4,202.566
gnn_port_score_route_8x8_v4,hotspot,0.05,1,302.578
gnn_port_score_route_8x8_v4,hotspot,0.05,0,307.781
gnn_port_score_route_8x8_v4,hotspot,0.05,3,325.447
gnn_port_score_route_8x8_v4,hotspot,0.05,2,314.858
gnn_port_score_route_8x8_v4,hotspot,0.05,4,361.235
gnn_port_score_route_8x8_v4,hotspot,0.1,0,253.324
gnn_port_score_route_8x8_v4,hotspot,0.1,1,246.949
gnn_port_score_route_8x8_v4,hotspot,0.1,2,232.172
gnn_port_score_route_8x8_v4,hotspot,0.1,3,230.158
gnn_port_score_route_8x8_v4,hotspot,0.1,4,254.54
gnn_port_score_route_8x8_v4,hotspot,0.2,0,269.499
gnn_port_score_route_8x8_v4,hotspot,0.2,1,265.306
gnn_port_score_route_8x8_v4,hotspot,0.2,2,315.069
gnn_port_score_route_8x8_v4,hotspot,0.2,3,273.508
gnn_port_score_route_8x8_v4,hotspot,0.2,4,314.079
gnn_port_score_route_8x8_v4,transpose,0.01,3,33.4943
gnn_port_score_route_8x8_v4,transpose,0.01,4,33.4802
dor,uniform,0.01,0,33.2717
dor,uniform,0.01,1,33.2972
dor,uniform,0.01,2,33.2952
dor,uniform,0.01,3,33.2919
dor,uniform,0.01,4,33.2849
dor,uniform,0.05,0,33.4229
dor,uniform,0.05,1,33.4523
dor,uniform,0.05,2,33.4459
dor,uniform,0.05,3,33.444
dor,uniform,0.05,4,33.4556
dor,uniform,0.1,0,34.4561
dor,uniform,0.1,1,34.4293
dor,uniform,0.2,0,600.083
dor,uniform,0.2,1,602.522
dor,uniform,0.1,2,34.4491
dor,uniform,0.2,2,603.582
dor,uniform,0.2,3,596.738
dor,uniform,0.2,4,612.819
dor,transpose,0.01,0,33.2796
dor,transpose,0.01,1,33.1928
dor,uniform,0.1,3,34.4506
dor,transpose,0.01,2,33.3081
dor,transpose,0.01,3,33.2552
dor,transpose,0.01,4,33.244
dor,uniform,0.1,4,34.4287
dor,transpose,0.05,1,35.4883
dor,transpose,0.05,0,35.6257
dor,transpose,0.1,0,483.177
dor,transpose,0.1,1,483.394
dor,transpose,0.1,2,480.056
dor,transpose,0.05,2,35.5652
dor,transpose,0.1,3,480.512
dor,transpose,0.2,0,463.413
dor,transpose,0.1,4,493.727
dor,transpose,0.2,1,481.707
dor,transpose,0.2,2,477.08
dor,transpose,0.2,3,462.533
dor,transpose,0.2,4,459.659
dor,hotspot,0.01,0,184.147
dor,hotspot,0.01,1,193.501
dor,hotspot,0.01,2,178.002
dor,hotspot,0.01,3,172.018
dor,hotspot,0.01,4,239.61
dor,hotspot,0.05,0,210.947
dor,hotspot,0.05,1,228.789
dor,hotspot,0.05,2,229.357
dor,hotspot,0.05,3,225.665
dor,hotspot,0.05,4,226.817
dor,hotspot,0.1,0,292.69
dor,hotspot,0.1,1,309.744
dor,hotspot,0.1,2,278.921
dor,hotspot,0.1,3,290.174
dor,hotspot,0.1,4,308.704
dor,hotspot,0.2,0,380.004
dor,hotspot,0.2,1,371.865
dor,hotspot,0.2,2,394.583
dor,hotspot,0.2,3,368.204
dor,hotspot,0.2,4,397.69
planar_adapt,uniform,0.01,1,33.4204
planar_adapt,uniform,0.01,0,33.3977
dor,transpose,0.05,3,35.5123
planar_adapt,uniform,0.01,2,33.4222
dor,transpose,0.05,4,35.4779
planar_adapt,uniform,0.01,3,33.4157
planar_adapt,uniform,0.01,4,33.4167
planar_adapt,uniform,0.05,1,37.8632
planar_adapt,uniform,0.05,3,37.885
planar_adapt,uniform,0.05,2,37.8625
planar_adapt,uniform,0.1,0,439.714
planar_adapt,uniform,0.1,1,475.484
planar_adapt,uniform,0.1,2,473.025
planar_adapt,uniform,0.05,0,37.8529
planar_adapt,uniform,0.1,3,511.517
planar_adapt,uniform,0.1,4,459.694
planar_adapt,uniform,0.2,0,992.339
planar_adapt,uniform,0.2,1,1062.44
planar_adapt,uniform,0.2,2,1003.27
planar_adapt,uniform,0.2,3,1046.74
planar_adapt,uniform,0.2,4,1008.59
planar_adapt,transpose,0.01,0,33.6159
planar_adapt,transpose,0.01,2,33.6398
planar_adapt,transpose,0.01,1,33.5082
planar_adapt,transpose,0.05,0,391.605
planar_adapt,transpose,0.05,1,384.445
planar_adapt,transpose,0.05,2,403.139
planar_adapt,transpose,0.05,3,416.182
planar_adapt,transpose,0.05,4,370.024
planar_adapt,transpose,0.1,0,394.089
planar_adapt,transpose,0.1,1,370.394
planar_adapt,transpose,0.1,2,368.445
planar_adapt,transpose,0.1,3,362.946
planar_adapt,transpose,0.1,4,390.167
planar_adapt,transpose,0.2,0,599.0
planar_adapt,transpose,0.2,1,573.064
planar_adapt,transpose,0.2,2,614.711
planar_adapt,transpose,0.2,3,604.401
