topo,k,n,algo,traffic,inj_rate,seed,link_failures,fail_seed,latency,accepted,hops,injected
mesh,4,2,dor,hotspot,0.01,0,0,101,19.6723,0.00998257,3.5013,0.00996791
mesh,4,2,dor,hotspot,0.01,0,0,202,19.6723,0.00998257,3.5013,0.00996791
mesh,4,2,dor,hotspot,0.01,0,0,303,19.6723,0.00998257,3.5013,0.00996791
mesh,4,2,dor,hotspot,0.01,0,1,101,22.0901,0.00996852,3.97947,0.00995942
mesh,4,2,dor,hotspot,0.01,0,1,202,19.6118,0.00996617,3.48236,0.00997153
mesh,4,2,dor,hotspot,0.01,0,1,303,22.1946,0.00994662,4.00162,0.00993308
mesh,4,2,dor,hotspot,0.01,0,2,101,19.6538,0.00995364,3.49787,0.00995101
mesh,4,2,dor,hotspot,0.01,0,2,202,22.216,0.0100087,4.00316,0.0100074
mesh,4,2,dor,hotspot,0.01,0,2,303,19.7549,0.00996361,3.51408,0.00996492
mesh,4,2,dor,hotspot,0.01,0,4,101,22.0901,0.00996852,3.97947,0.00995942
mesh,4,2,dor,hotspot,0.01,0,4,202,17.1416,0.00995504,2.99454,0.00995258
mesh,4,2,dor,hotspot,0.01,0,4,303,22.223,0.00996425,4.00851,0.00993683
mesh,4,2,dor,hotspot,0.01,0,7,101,17.1513,0.00997944,2.99799,0.00998703
mesh,4,2,dor,hotspot,0.01,0,7,202,22.223,0.00996425,4.00851,0.00993683
mesh,4,2,dor,hotspot,0.01,0,7,303,17.1416,0.00995504,2.99454,0.00995258
mesh,4,2,dor,hotspot,0.01,1,0,101,19.632,0.0100972,3.49379,0.0100939
mesh,4,2,dor,hotspot,0.01,1,0,202,19.632,0.0100972,3.49379,0.0100939
mesh,4,2,dor,hotspot,0.01,1,0,303,19.632,0.0100972,3.49379,0.0100939
mesh,4,2,dor,hotspot,0.01,1,1,101,22.1718,0.010007,3.99829,0.0100013
mesh,4,2,dor,hotspot,0.01,1,1,202,19.6777,0.0100448,3.49947,0.0100496
mesh,4,2,dor,hotspot,0.01,1,1,303,22.108,0.00996886,3.98676,0.00996218
mesh,4,2,dor,hotspot,0.01,1,2,101,19.6603,0.00998758,3.50045,0.0099942
mesh,4,2,dor,hotspot,0.01,1,2,202,22.2795,0.0100385,4.01795,0.010044
mesh,4,2,dor,hotspot,0.01,1,2,303,19.723,0.0100459,3.50747,0.0100515
mesh,4,2,dor,hotspot,0.01,1,4,101,22.1718,0.010007,3.99829,0.0100013
