algo,traffic,inj_rate,seed,link_failures,fail_seed,latency,accepted,hops,n_actual_fails,unstable
dor,hotspot,0.01,0,0,101,19.6723,0.0098125,3.5013,0,False
dor,hotspot,0.01,0,2,101,19.6538,0.00941667,3.49787,2,False
dor,hotspot,0.01,0,4,101,22.0901,0.00985417,3.97947,4,False
dor,hotspot,0.01,0,7,101,17.1513,0.0100625,2.99799,7,False
dor,hotspot,0.01,1,0,101,19.632,0.011325,3.49379,0,False
dor,hotspot,0.01,1,2,101,19.6603,0.0094375,3.50045,2,False
dor,hotspot,0.01,1,4,101,22.1718,0.0104792,3.99829,4,False
dor,hotspot,0.01,1,7,101,17.203,0.00983333,3.00779,7,False
dor,hotspot,0.05,0,0,101,357.541,0.03125,0,0,True
dor,hotspot,0.05,0,2,101,366.805,0.03125,0,2,True
dor,hotspot,0.05,0,4,101,379.072,0.0305625,0,4,True
dor,hotspot,0.05,0,7,101,376.76,0.0312083,0,7,True
dor,hotspot,0.05,1,0,101,221.591,0.031125,0,0,True
dor,hotspot,0.05,1,2,101,207.45,0.03125,0,2,True
dor,hotspot,0.05,1,4,101,419.616,0.0307812,0,4,True
dor,hotspot,0.05,1,7,101,375.178,0.03125,0,7,True
dor,transpose,0.01,0,0,101,19.4818,0.010125,3.49542,0,False
dor,transpose,0.01,0,2,101,19.4818,0.010125,3.49542,2,False
dor,transpose,0.01,0,4,101,19.4818,0.010125,3.49542,4,False
dor,transpose,0.01,0,7,101,19.4818,0.010125,3.49542,7,False
dor,transpose,0.01,1,0,101,19.5187,0.0100938,3.50289,0,False
dor,transpose,0.01,1,2,101,19.5187,0.0100938,3.50289,2,False
dor,transpose,0.01,1,4,101,19.5187,0.0100938,3.50289,4,False
dor,transpose,0.01,1,7,101,19.5187,0.0100938,3.50289,7,False
dor,transpose,0.05,0,0,101,19.5802,0.0513333,3.49878,0,False
dor,transpose,0.05,0,2,101,19.5802,0.0513333,3.49878,2,False
dor,transpose,0.05,0,4,101,19.5802,0.0513333,3.49878,4,False
dor,transpose,0.05,0,7,101,19.5802,0.0513333,3.49878,7,False
dor,transpose,0.05,1,0,101,19.5759,0.0490625,3.49658,0,False
dor,transpose,0.05,1,2,101,19.5759,0.0490625,3.49658,2,False
dor,transpose,0.05,1,4,101,19.5759,0.0490625,3.49658,4,False
dor,transpose,0.05,1,7,101,19.5759,0.0490625,3.49658,7,False
dor,uniform,0.01,0,0,101,19.4657,0.00941667,3.49144,0,False
dor,uniform,0.01,0,2,101,19.4657,0.00941667,3.49144,2,False
dor,uniform,0.01,0,4,101,19.4657,0.00941667,3.49144,4,False
dor,uniform,0.01,0,7,101,19.4657,0.00941667,3.49144,7,False
dor,uniform,0.01,1,0,101,19.3954,0.0104375,3.47775,0,False
dor,uniform,0.01,1,2,101,19.3954,0.0104375,3.47775,2,False
dor,uniform,0.01,1,4,101,19.3954,0.0104375,3.47775,4,False
dor,uniform,0.01,1,7,101,19.3954,0.0104375,3.47775,7,False
dor,uniform,0.05,0,0,101,19.4821,0.0495937,3.48765,0,False
dor,uniform,0.05,0,2,101,19.4821,0.0495937,3.48765,2,False
