algo,traffic,rate,seed,latency
dor,uniform,0.01,12345,33.4053
dor,uniform,0.01,67890,33.2733
dor,uniform,0.01,24680,33.3261
dor,uniform,0.05,12345,33.4756
dor,uniform,0.05,67890,33.5056
dor,uniform,0.05,24680,33.4759
dor,uniform,0.1,12345,33.8262
dor,uniform,0.1,67890,33.8306
dor,uniform,0.1,24680,33.8782
dor,uniform,0.2,12345,35.0922
dor,uniform,0.2,67890,35.1332
dor,uniform,0.2,24680,35.12
dor,uniform,0.3,12345,37.9303
dor,uniform,0.3,67890,37.9011
dor,uniform,0.3,24680,37.9324
dor,uniform,0.5,12345,1381.59
dor,uniform,0.5,67890,1374.12
dor,uniform,0.5,24680,1394.32
dor,transpose,0.01,12345,33.4099
dor,transpose,0.01,67890,33.3012
dor,transpose,0.01,24680,33.074
dor,transpose,0.05,12345,33.641
dor,transpose,0.05,67890,33.7314
dor,transpose,0.05,24680,33.7072
dor,transpose,0.1,12345,34.9848
dor,transpose,0.1,67890,34.9648
dor,transpose,0.1,24680,35.018
dor,transpose,0.2,12345,456.728
dor,transpose,0.2,67890,455.305
dor,transpose,0.2,24680,470.582
dor,transpose,0.3,12345,1136.89
dor,transpose,0.3,67890,1136.13
dor,transpose,0.3,24680,1145.02
dor,transpose,0.5,12345,1880.95
dor,transpose,0.5,67890,1875.34
dor,transpose,0.5,24680,1885.45
dor,hotspot,0.01,12345,32.1268
dor,hotspot,0.01,67890,32.1404
dor,hotspot,0.01,24680,32.2339
dor,hotspot,0.05,12345,1962.13
dor,hotspot,0.05,67890,1851.24
dor,hotspot,0.05,24680,1955.6
dor,hotspot,0.1,12345,4104.3
dor,hotspot,0.1,67890,4096.36
dor,hotspot,0.1,24680,4124.85
dor,hotspot,0.2,12345,6024.36
dor,hotspot,0.2,67890,6056.73
dor,hotspot,0.2,24680,6011.22
dor,hotspot,0.3,12345,7271.57
dor,hotspot,0.3,67890,7312.35
dor,hotspot,0.3,24680,7317.85
dor,hotspot,0.5,12345,8377.7
dor,hotspot,0.5,67890,8393.16
dor,hotspot,0.5,24680,8392.02
adaptive_xy_yx,uniform,0.01,12345,33.3107
adaptive_xy_yx,uniform,0.01,67890,33.3993
adaptive_xy_yx,uniform,0.01,24680,33.2609
adaptive_xy_yx,uniform,0.05,12345,33.4634
adaptive_xy_yx,uniform,0.05,67890,33.4449
adaptive_xy_yx,uniform,0.05,24680,33.5322
adaptive_xy_yx,uniform,0.1,12345,33.8547
adaptive_xy_yx,uniform,0.1,67890,33.8033
adaptive_xy_yx,uniform,0.1,24680,33.7494
adaptive_xy_yx,uniform,0.2,12345,35.0282
adaptive_xy_yx,uniform,0.2,67890,34.9483
adaptive_xy_yx,uniform,0.2,24680,35.0336
adaptive_xy_yx,uniform,0.3,12345,37.8457
adaptive_xy_yx,uniform,0.3,67890,37.7692
adaptive_xy_yx,uniform,0.3,24680,37.8104
adaptive_xy_yx,uniform,0.5,12345,1710.39
adaptive_xy_yx,uniform,0.5,67890,1806.94
adaptive_xy_yx,uniform,0.5,24680,1756.46
adaptive_xy_yx,transpose,0.01,12345,33.3866
adaptive_xy_yx,transpose,0.01,67890,33.2725
adaptive_xy_yx,transpose,0.01,24680,33.0508
adaptive_xy_yx,transpose,0.05,12345,33.3914
adaptive_xy_yx,transpose,0.05,67890,33.4702
adaptive_xy_yx,transpose,0.05,24680,33.4527
adaptive_xy_yx,transpose,0.1,12345,33.8163
adaptive_xy_yx,transpose,0.1,67890,33.7954
adaptive_xy_yx,transpose,0.1,24680,33.8341
adaptive_xy_yx,transpose,0.2,12345,35.5582
adaptive_xy_yx,transpose,0.2,67890,35.5323
adaptive_xy_yx,transpose,0.2,24680,35.5527
adaptive_xy_yx,transpose,0.3,12345,113.231
adaptive_xy_yx,transpose,0.3,67890,110.594
adaptive_xy_yx,transpose,0.3,24680,117.086
adaptive_xy_yx,transpose,0.5,12345,1420.63
adaptive_xy_yx,transpose,0.5,67890,1419.72
adaptive_xy_yx,transpose,0.5,24680,1526.95
adaptive_xy_yx,hotspot,0.01,12345,31.88
adaptive_xy_yx,hotspot,0.01,67890,31.9213
adaptive_xy_yx,hotspot,0.01,24680,31.9741
adaptive_xy_yx,hotspot,0.05,12345,2246.84
adaptive_xy_yx,hotspot,0.05,67890,2207.76
adaptive_xy_yx,hotspot,0.05,24680,2265.17
adaptive_xy_yx,hotspot,0.1,12345,3508.51
adaptive_xy_yx,hotspot,0.1,67890,3456.29
adaptive_xy_yx,hotspot,0.1,24680,3475.13
adaptive_xy_yx,hotspot,0.2,12345,5112.15
adaptive_xy_yx,hotspot,0.2,67890,5036.6
adaptive_xy_yx,hotspot,0.2,24680,5052.3
adaptive_xy_yx,hotspot,0.3,12345,6211.28
adaptive_xy_yx,hotspot,0.3,67890,6220.15
adaptive_xy_yx,hotspot,0.3,24680,6262.11
adaptive_xy_yx,hotspot,0.5,12345,7730.7
adaptive_xy_yx,hotspot,0.5,67890,7764.43
adaptive_xy_yx,hotspot,0.5,24680,7758.2
min_adapt,uniform,0.01,12345,33.4759
min_adapt,uniform,0.01,67890,33.3467
min_adapt,uniform,0.01,24680,33.3976
min_adapt,uniform,0.05,12345,33.9472
min_adapt,uniform,0.05,67890,33.9808
min_adapt,uniform,0.05,24680,33.9529
min_adapt,uniform,0.1,12345,35.3897
min_adapt,uniform,0.1,67890,35.4016
min_adapt,uniform,0.1,24680,35.4935
min_adapt,uniform,0.2,12345,96.9115
min_adapt,uniform,0.2,67890,96.976
min_adapt,uniform,0.2,24680,97.1324
min_adapt,uniform,0.3,12345,175.064
min_adapt,uniform,0.3,67890,163.152
min_adapt,uniform,0.3,24680,170.132
min_adapt,uniform,0.5,12345,2242.36
min_adapt,uniform,0.5,67890,2255.2
min_adapt,uniform,0.5,24680,2281.59
min_adapt,transpose,0.01,12345,33.4574
min_adapt,transpose,0.01,67890,33.353
min_adapt,transpose,0.01,24680,33.1233
min_adapt,transpose,0.05,12345,34.4631
min_adapt,transpose,0.05,67890,34.5893
min_adapt,transpose,0.05,24680,34.5486
min_adapt,transpose,0.1,12345,71.1087
min_adapt,transpose,0.1,67890,70.7655
min_adapt,transpose,0.1,24680,71.5584
min_adapt,transpose,0.2,12345,527.309
min_adapt,transpose,0.2,67890,532.298
min_adapt,transpose,0.2,24680,523.39
min_adapt,transpose,0.3,12345,1060.84
min_adapt,transpose,0.3,67890,1065.15
min_adapt,transpose,0.3,24680,1064.66
min_adapt,transpose,0.5,12345,1765.36
min_adapt,transpose,0.5,67890,1756.12
min_adapt,transpose,0.5,24680,1774.45
min_adapt,hotspot,0.01,12345,79.7205
min_adapt,hotspot,0.01,67890,94.0218
min_adapt,hotspot,0.01,24680,90.4925
min_adapt,hotspot,0.05,12345,1782.38
min_adapt,hotspot,0.05,67890,1670.47
min_adapt,hotspot,0.05,24680,1768.51
min_adapt,hotspot,0.1,12345,3742.68
min_adapt,hotspot,0.1,67890,3837.33
min_adapt,hotspot,0.1,24680,3836.52
min_adapt,hotspot,0.2,12345,5747.54
min_adapt,hotspot,0.2,67890,5816.85
min_adapt,hotspot,0.2,24680,5777.09
min_adapt,hotspot,0.3,12345,7154.68
min_adapt,hotspot,0.3,67890,7159.99
min_adapt,hotspot,0.3,24680,7195.11
min_adapt,hotspot,0.5,12345,8270.44
min_adapt,hotspot,0.5,67890,8298.84
min_adapt,hotspot,0.5,24680,8296.76
gnn_weighted_route_8x8,uniform,0.01,12345,33.4047
gnn_weighted_route_8x8,uniform,0.01,67890,33.2723
gnn_weighted_route_8x8,uniform,0.01,24680,33.3282
gnn_weighted_route_8x8,uniform,0.05,12345,33.5003
gnn_weighted_route_8x8,uniform,0.05,67890,33.5258
gnn_weighted_route_8x8,uniform,0.05,24680,33.4986
gnn_weighted_route_8x8,uniform,0.1,12345,33.9343
gnn_weighted_route_8x8,uniform,0.1,67890,33.934
gnn_weighted_route_8x8,uniform,0.1,24680,33.993
gnn_weighted_route_8x8,uniform,0.2,12345,35.9275
gnn_weighted_route_8x8,uniform,0.2,67890,35.9658
gnn_weighted_route_8x8,uniform,0.2,24680,35.9828
gnn_weighted_route_8x8,uniform,0.3,12345,46.276
gnn_weighted_route_8x8,uniform,0.3,67890,46.3762
gnn_weighted_route_8x8,uniform,0.3,24680,46.7542
gnn_weighted_route_8x8,uniform,0.5,12345,1816.51
gnn_weighted_route_8x8,uniform,0.5,67890,1809.84
gnn_weighted_route_8x8,uniform,0.5,24680,1841.04
gnn_weighted_route_8x8,transpose,0.01,12345,33.4228
gnn_weighted_route_8x8,transpose,0.01,67890,33.311
gnn_weighted_route_8x8,transpose,0.01,24680,33.0903
gnn_weighted_route_8x8,transpose,0.05,12345,33.8575
gnn_weighted_route_8x8,transpose,0.05,67890,33.9626
gnn_weighted_route_8x8,transpose,0.05,24680,33.9286
gnn_weighted_route_8x8,transpose,0.1,12345,35.4258
gnn_weighted_route_8x8,transpose,0.1,67890,35.3813
gnn_weighted_route_8x8,transpose,0.1,24680,35.4417
gnn_weighted_route_8x8,transpose,0.2,12345,40.0092
gnn_weighted_route_8x8,transpose,0.2,67890,39.9968
gnn_weighted_route_8x8,transpose,0.2,24680,40.0443
gnn_weighted_route_8x8,transpose,0.3,12345,156.82
gnn_weighted_route_8x8,transpose,0.3,67890,143.94
gnn_weighted_route_8x8,transpose,0.3,24680,162.316
gnn_weighted_route_8x8,transpose,0.5,12345,1167.43
gnn_weighted_route_8x8,transpose,0.5,67890,1054.07
gnn_weighted_route_8x8,transpose,0.5,24680,1184.0
gnn_weighted_route_8x8,hotspot,0.01,12345,32.7568
gnn_weighted_route_8x8,hotspot,0.01,67890,32.8073
gnn_weighted_route_8x8,hotspot,0.01,24680,33.0715
gnn_weighted_route_8x8,hotspot,0.05,12345,2391.63
gnn_weighted_route_8x8,hotspot,0.05,67890,2106.76
gnn_weighted_route_8x8,hotspot,0.05,24680,2109.61
gnn_weighted_route_8x8,hotspot,0.1,12345,4220.74
