algorithm,traffic,rate,seed,latency
dor,uniform,0.01,42,33.0878
dor,uniform,0.01,43,33.2276
dor,uniform,0.01,44,33.1756
dor,uniform,0.05,42,33.3428
dor,uniform,0.05,43,33.3515
dor,uniform,0.05,44,33.634
dor,uniform,0.1,42,33.6404
dor,uniform,0.1,43,33.9573
dor,uniform,0.1,44,33.7313
dor,uniform,0.2,42,489.392
dor,uniform,0.2,43,511.362
dor,uniform,0.2,44,515.277
dor,uniform,0.3,42,690.647
dor,uniform,0.3,43,647.147
dor,uniform,0.3,44,690.889
dor,uniform,0.5,42,544.299
dor,uniform,0.5,43,547.28
dor,uniform,0.5,44,552.392
dor,transpose,0.01,42,33.0493
dor,transpose,0.01,43,33.9248
dor,transpose,0.01,44,33.3212
dor,transpose,0.05,42,33.8246
dor,transpose,0.05,43,33.7546
dor,transpose,0.05,44,33.7392
dor,transpose,0.1,42,463.676
dor,transpose,0.1,43,493.345
dor,transpose,0.1,44,408.377
dor,transpose,0.2,42,442.039
dor,transpose,0.2,43,513.119
dor,transpose,0.2,44,443.513
dor,transpose,0.3,42,535.9
dor,transpose,0.3,43,529.644
dor,transpose,0.3,44,566.124
dor,transpose,0.5,42,776.002
dor,transpose,0.5,43,799.236
dor,transpose,0.5,44,763.28
dor,hotspot,0.01,42,41.1651
dor,hotspot,0.01,43,54.1138
dor,hotspot,0.01,44,34.0622
dor,hotspot,0.05,42,355.325
dor,hotspot,0.05,43,368.397
dor,hotspot,0.05,44,398.989
dor,hotspot,0.1,42,296.464
dor,hotspot,0.1,43,290.232
dor,hotspot,0.1,44,290.45
dor,hotspot,0.2,42,370.687
dor,hotspot,0.2,43,379.14
dor,hotspot,0.2,44,384.273
dor,hotspot,0.3,42,421.965
dor,hotspot,0.3,43,415.183
dor,hotspot,0.3,44,417.067
dor,hotspot,0.5,42,448.335
dor,hotspot,0.5,43,450.029
dor,hotspot,0.5,44,454.017
adaptive_xy_yx,uniform,0.01,42,33.4392
adaptive_xy_yx,uniform,0.01,43,33.1345
adaptive_xy_yx,uniform,0.01,44,33.4786
adaptive_xy_yx,uniform,0.05,42,33.577
adaptive_xy_yx,uniform,0.05,43,33.7095
adaptive_xy_yx,uniform,0.05,44,33.7947
adaptive_xy_yx,uniform,0.1,42,34.9272
adaptive_xy_yx,uniform,0.1,43,35.0495
adaptive_xy_yx,uniform,0.1,44,35.2513
adaptive_xy_yx,uniform,0.2,42,521.164
adaptive_xy_yx,uniform,0.2,43,548.805
adaptive_xy_yx,uniform,0.2,44,542.132
adaptive_xy_yx,uniform,0.3,42,988.337
adaptive_xy_yx,uniform,0.3,43,978.856
