topology,algorithm,traffic,inj_rate,latency,energy_pJ,status
mesh44,dor,uniform,0.01,NA,NA,SATURATED
mesh44,dor,uniform,0.02,NA,NA,SATURATED
mesh44,dor,uniform,0.05,NA,NA,SATURATED
mesh44,dor,uniform,0.1,NA,NA,SATURATED
mesh44,dor,transpose,0.01,NA,NA,SATURATED
mesh44,dor,transpose,0.02,NA,NA,SATURATED
mesh44,dor,transpose,0.05,NA,NA,SATURATED
mesh44,dor,transpose,0.1,NA,NA,SATURATED
mesh44,dor,hotspot,0.01,NA,NA,SATURATED
mesh44,dor,hotspot,0.02,NA,NA,SATURATED
mesh44,dor,hotspot,0.05,NA,NA,SATURATED
mesh44,dor,hotspot,0.1,NA,NA,SATURATED
mesh44,adaptive_xy_yx,uniform,0.01,NA,NA,SATURATED
mesh44,adaptive_xy_yx,uniform,0.02,NA,NA,SATURATED
mesh44,adaptive_xy_yx,uniform,0.05,NA,NA,SATURATED
mesh44,adaptive_xy_yx,uniform,0.1,NA,NA,SATURATED
mesh44,adaptive_xy_yx,transpose,0.01,NA,NA,SATURATED
mesh44,adaptive_xy_yx,transpose,0.02,NA,NA,SATURATED
mesh44,adaptive_xy_yx,transpose,0.05,NA,NA,SATURATED
mesh44,adaptive_xy_yx,transpose,0.1,NA,NA,SATURATED
mesh44,adaptive_xy_yx,hotspot,0.01,NA,NA,SATURATED
mesh44,adaptive_xy_yx,hotspot,0.02,NA,NA,SATURATED
mesh44,adaptive_xy_yx,hotspot,0.05,NA,NA,SATURATED
mesh44,adaptive_xy_yx,hotspot,0.1,NA,NA,SATURATED
mesh44,min_adapt,uniform,0.01,NA,NA,SATURATED
mesh44,min_adapt,uniform,0.02,NA,NA,SATURATED
mesh44,min_adapt,uniform,0.05,NA,NA,SATURATED
mesh44,min_adapt,uniform,0.1,NA,NA,SATURATED
mesh44,min_adapt,transpose,0.01,NA,NA,SATURATED
mesh44,min_adapt,transpose,0.02,NA,NA,SATURATED
mesh44,min_adapt,transpose,0.05,NA,NA,SATURATED
mesh44,min_adapt,transpose,0.1,NA,NA,SATURATED
mesh44,min_adapt,hotspot,0.01,NA,NA,SATURATED
mesh44,min_adapt,hotspot,0.02,NA,NA,SATURATED
mesh44,min_adapt,hotspot,0.05,NA,NA,SATURATED
mesh44,min_adapt,hotspot,0.1,NA,NA,SATURATED
mesh88,dor,uniform,0.01,NA,NA,SATURATED
mesh88,dor,uniform,0.02,NA,NA,SATURATED
mesh88,dor,uniform,0.05,NA,NA,SATURATED
mesh88,dor,uniform,0.1,NA,NA,SATURATED
mesh88,dor,transpose,0.01,NA,NA,SATURATED
mesh88,dor,transpose,0.02,NA,NA,SATURATED
mesh88,dor,transpose,0.05,NA,NA,SATURATED
mesh88,dor,transpose,0.1,NA,NA,SATURATED
mesh88,dor,hotspot,0.01,NA,NA,SATURATED
mesh88,dor,hotspot,0.02,NA,NA,SATURATED
mesh88,dor,hotspot,0.05,NA,NA,SATURATED
mesh88,dor,hotspot,0.1,NA,NA,SATURATED
mesh88,adaptive_xy_yx,uniform,0.01,NA,NA,SATURATED
mesh88,adaptive_xy_yx,uniform,0.02,NA,NA,SATURATED
mesh88,adaptive_xy_yx,uniform,0.05,NA,NA,SATURATED
mesh88,adaptive_xy_yx,uniform,0.1,NA,NA,SATURATED
mesh88,adaptive_xy_yx,transpose,0.01,NA,NA,SATURATED
mesh88,adaptive_xy_yx,transpose,0.02,NA,NA,SATURATED
mesh88,adaptive_xy_yx,transpose,0.05,NA,NA,SATURATED
mesh88,adaptive_xy_yx,transpose,0.1,NA,NA,SATURATED
mesh88,adaptive_xy_yx,hotspot,0.01,NA,NA,SATURATED
mesh88,adaptive_xy_yx,hotspot,0.02,NA,NA,SATURATED
mesh88,adaptive_xy_yx,hotspot,0.05,NA,NA,SATURATED
mesh88,adaptive_xy_yx,hotspot,0.1,NA,NA,SATURATED
mesh88,min_adapt,uniform,0.01,NA,NA,SATURATED
mesh88,min_adapt,uniform,0.02,NA,NA,SATURATED
mesh88,min_adapt,uniform,0.05,NA,NA,SATURATED
mesh88,min_adapt,uniform,0.1,NA,NA,SATURATED
mesh88,min_adapt,transpose,0.01,NA,NA,SATURATED
mesh88,min_adapt,transpose,0.02,NA,NA,SATURATED
mesh88,min_adapt,transpose,0.05,NA,NA,SATURATED
mesh88,min_adapt,transpose,0.1,NA,NA,SATURATED
mesh88,min_adapt,hotspot,0.01,NA,NA,SATURATED
mesh88,min_adapt,hotspot,0.02,NA,NA,SATURATED
mesh88,min_adapt,hotspot,0.05,NA,NA,SATURATED
mesh88,min_adapt,hotspot,0.1,NA,NA,SATURATED
