topology,algorithm,traffic,inj_rate,mean_latency,std_latency,ci95
mesh44,adaptive_xy_yx,hotspot,0.01,19.63,0.63,0.56
mesh44,adaptive_xy_yx,hotspot,0.05,112.20,7.84,6.87
mesh44,adaptive_xy_yx,hotspot,0.1,265.19,14.06,12.33
mesh44,adaptive_xy_yx,hotspot,0.2,477.82,8.73,7.65
mesh44,adaptive_xy_yx,hotspot,0.3,650.94,15.11,13.24
mesh44,adaptive_xy_yx,hotspot,0.35,689.71,13.59,11.91
mesh44,adaptive_xy_yx,hotspot,0.4,728.57,9.22,8.08
mesh44,adaptive_xy_yx,hotspot,0.45,762.58,3.66,3.21
mesh44,adaptive_xy_yx,uniform,0.01,19.63,0.31,0.27
mesh44,adaptive_xy_yx,uniform,0.05,19.58,0.16,0.14
mesh44,adaptive_xy_yx,uniform,0.1,19.79,0.12,0.11
mesh44,adaptive_xy_yx,uniform,0.2,20.81,0.03,0.03
mesh44,adaptive_xy_yx,uniform,0.3,24.91,0.68,0.60
mesh44,adaptive_xy_yx,uniform,0.35,56.23,5.24,4.60
mesh44,adaptive_xy_yx,uniform,0.4,153.98,2.89,2.53
mesh44,adaptive_xy_yx,uniform,0.45,243.76,6.70,5.88
mesh44,dor,hotspot,0.01,19.51,0.63,0.55
mesh44,dor,hotspot,0.05,117.07,12.73,11.16
mesh44,dor,hotspot,0.1,379.58,14.80,12.98
mesh44,dor,hotspot,0.2,601.26,15.55,13.63
mesh44,dor,hotspot,0.3,738.54,5.41,4.74
mesh44,dor,hotspot,0.35,773.17,8.47,7.42
mesh44,dor,hotspot,0.4,803.37,3.94,3.46
mesh44,dor,hotspot,0.45,822.68,4.39,3.85
mesh44,dor,uniform,0.01,19.78,0.37,0.32
mesh44,dor,uniform,0.05,19.54,0.22,0.19
mesh44,dor,uniform,0.1,19.54,0.13,0.11
mesh44,dor,uniform,0.2,19.96,0.09,0.08
mesh44,dor,uniform,0.3,21.03,0.08,0.07
mesh44,dor,uniform,0.35,23.58,0.44,0.38
mesh44,dor,uniform,0.4,57.07,8.18,7.17
mesh44,dor,uniform,0.45,151.74,8.54,7.49
mesh44,min_adapt,hotspot,0.01,19.93,0.70,0.61
mesh44,min_adapt,hotspot,0.05,109.33,13.65,11.97
mesh44,min_adapt,hotspot,0.1,345.51,8.22,7.21
