topology,algorithm,traffic,inj_rate,avg_latency,status
mesh44,dor,uniform,0.01,19.1623,OK
mesh44,dor,uniform,0.02,19.8276,OK
mesh44,dor,uniform,0.05,19.323,OK
mesh44,dor,uniform,0.1,19.4542,OK
mesh44,dor,uniform,0.15,19.9467,OK
mesh44,dor,uniform,0.2,19.8683,OK
mesh44,dor,uniform,0.3,20.7208,OK
mesh44,dor,uniform,0.4,34.2215,OK
mesh44,dor,uniform,0.5,122.256,OK
mesh44,dor,transpose,0.01,19.1429,OK
mesh44,dor,transpose,0.02,20.2382,OK
mesh44,dor,transpose,0.05,19.6809,OK
mesh44,dor,transpose,0.1,19.7058,OK
mesh44,dor,transpose,0.15,21.0514,OK
mesh44,dor,transpose,0.2,36.6652,OK
mesh44,dor,transpose,0.3,72.6544,OK
mesh44,dor,transpose,0.4,102.314,OK
mesh44,dor,transpose,0.5,114.823,OK
mesh44,dor,hotspot,0.01,20.2876,OK
mesh44,dor,hotspot,0.02,20.2006,OK
mesh44,dor,hotspot,0.05,67.6738,OK
mesh44,dor,hotspot,0.1,180.087,OK
mesh44,dor,hotspot,0.15,251.377,OK
mesh44,dor,hotspot,0.2,287.404,OK
mesh44,dor,hotspot,0.3,362.044,OK
mesh44,dor,hotspot,0.4,405.855,OK
mesh44,dor,hotspot,0.5,424.086,OK
mesh44,adaptive_xy_yx,uniform,0.01,19.1046,OK
mesh44,adaptive_xy_yx,uniform,0.02,19.4075,OK
mesh44,adaptive_xy_yx,uniform,0.05,19.6321,OK
mesh44,adaptive_xy_yx,uniform,0.1,19.7802,OK
mesh44,adaptive_xy_yx,uniform,0.15,20.2803,OK
mesh44,adaptive_xy_yx,uniform,0.2,20.9359,OK
mesh44,adaptive_xy_yx,uniform,0.3,24.1458,OK
mesh44,adaptive_xy_yx,uniform,0.4,77.7523,OK
mesh44,adaptive_xy_yx,uniform,0.5,156.982,OK
mesh44,adaptive_xy_yx,transpose,0.01,19.1429,OK
mesh44,adaptive_xy_yx,transpose,0.02,20.232,OK
mesh44,adaptive_xy_yx,transpose,0.05,19.6835,OK
mesh44,adaptive_xy_yx,transpose,0.1,19.839,OK
mesh44,adaptive_xy_yx,transpose,0.15,20.4464,OK
mesh44,adaptive_xy_yx,transpose,0.2,22.6817,OK
mesh44,adaptive_xy_yx,transpose,0.3,67.4814,OK
mesh44,adaptive_xy_yx,transpose,0.4,99.4734,OK
mesh44,adaptive_xy_yx,transpose,0.5,131.597,OK
mesh44,adaptive_xy_yx,hotspot,0.01,20.3203,OK
mesh44,adaptive_xy_yx,hotspot,0.02,20.5047,OK
mesh44,adaptive_xy_yx,hotspot,0.05,61.8341,OK
mesh44,adaptive_xy_yx,hotspot,0.1,140.206,OK
mesh44,adaptive_xy_yx,hotspot,0.15,194.021,OK
mesh44,adaptive_xy_yx,hotspot,0.2,245.261,OK
mesh44,adaptive_xy_yx,hotspot,0.3,326.953,OK
mesh44,adaptive_xy_yx,hotspot,0.4,384.109,OK
mesh44,adaptive_xy_yx,hotspot,0.5,395.687,OK
mesh44,min_adapt,uniform,0.01,19.3961,OK
mesh44,min_adapt,uniform,0.02,20.326,OK
mesh44,min_adapt,uniform,0.05,19.9572,OK
mesh44,min_adapt,uniform,0.1,20.4197,OK
mesh44,min_adapt,uniform,0.15,21.6157,OK
mesh44,min_adapt,uniform,0.2,21.6866,OK
mesh44,min_adapt,uniform,0.3,23.7078,OK
mesh44,min_adapt,uniform,0.4,62.7421,OK
mesh44,min_adapt,uniform,0.5,137.919,OK
mesh44,min_adapt,transpose,0.01,19.1494,OK
mesh44,min_adapt,transpose,0.02,20.4953,OK
mesh44,min_adapt,transpose,0.05,20.0584,OK
mesh44,min_adapt,transpose,0.1,20.4064,OK
