algo,traffic,inj_rate,seed,latency
adaptive_xy_yx,hotspot,0.01,0,19.9114
adaptive_xy_yx,hotspot,0.01,1,19.8854
adaptive_xy_yx,hotspot,0.01,2,19.9003
adaptive_xy_yx,hotspot,0.01,3,19.8725
adaptive_xy_yx,hotspot,0.01,4,19.8394
adaptive_xy_yx,hotspot,0.02,0,21.6441
adaptive_xy_yx,hotspot,0.02,1,21.7869
adaptive_xy_yx,hotspot,0.02,2,21.7406
adaptive_xy_yx,hotspot,0.02,3,21.7437
adaptive_xy_yx,hotspot,0.02,4,21.7447
adaptive_xy_yx,hotspot,0.05,0,471.837
adaptive_xy_yx,hotspot,0.05,1,401.23
adaptive_xy_yx,hotspot,0.05,2,426.589
adaptive_xy_yx,hotspot,0.05,3,425.14
adaptive_xy_yx,hotspot,0.05,4,488.495
adaptive_xy_yx,hotspot,0.1,0,825.124
adaptive_xy_yx,hotspot,0.1,1,884.046
adaptive_xy_yx,hotspot,0.1,2,866.912
adaptive_xy_yx,hotspot,0.1,3,789.344
adaptive_xy_yx,hotspot,0.1,4,785.224
adaptive_xy_yx,hotspot,0.2,0,491.483
adaptive_xy_yx,hotspot,0.2,1,545.193
adaptive_xy_yx,hotspot,0.2,2,532.504
adaptive_xy_yx,hotspot,0.2,3,534.983
adaptive_xy_yx,hotspot,0.2,4,499.182
adaptive_xy_yx,hotspot,0.3,0,685.393
adaptive_xy_yx,hotspot,0.3,1,667.739
adaptive_xy_yx,hotspot,0.3,2,706.183
adaptive_xy_yx,hotspot,0.3,3,704.814
adaptive_xy_yx,hotspot,0.3,4,669.638
adaptive_xy_yx,transpose,0.01,0,19.5439
adaptive_xy_yx,transpose,0.01,1,19.5346
adaptive_xy_yx,transpose,0.01,2,19.5661
adaptive_xy_yx,transpose,0.01,3,19.522
adaptive_xy_yx,transpose,0.01,4,19.5094
adaptive_xy_yx,transpose,0.02,0,19.5244
adaptive_xy_yx,transpose,0.02,1,19.5658
adaptive_xy_yx,transpose,0.02,2,19.5122
adaptive_xy_yx,transpose,0.02,3,19.5303
adaptive_xy_yx,transpose,0.02,4,19.5226
adaptive_xy_yx,transpose,0.05,0,19.7072
adaptive_xy_yx,transpose,0.05,1,19.6697
adaptive_xy_yx,transpose,0.05,2,19.6528
adaptive_xy_yx,transpose,0.05,3,19.6527
adaptive_xy_yx,transpose,0.05,4,19.6853
adaptive_xy_yx,transpose,0.1,0,20.3627
adaptive_xy_yx,transpose,0.1,1,20.389
adaptive_xy_yx,transpose,0.1,2,20.3385
adaptive_xy_yx,transpose,0.1,3,20.3518
adaptive_xy_yx,transpose,0.1,4,20.3538
adaptive_xy_yx,transpose,0.2,0,436.077
adaptive_xy_yx,transpose,0.2,1,479.18
adaptive_xy_yx,transpose,0.2,2,470.537
adaptive_xy_yx,transpose,0.2,3,451.281
adaptive_xy_yx,transpose,0.2,4,502.618
adaptive_xy_yx,transpose,0.3,0,626.339
adaptive_xy_yx,transpose,0.3,1,624.464
adaptive_xy_yx,transpose,0.3,2,574.522
adaptive_xy_yx,transpose,0.3,3,643.628
adaptive_xy_yx,transpose,0.3,4,522.65
adaptive_xy_yx,uniform,0.01,0,19.5449
adaptive_xy_yx,uniform,0.01,1,19.5338
adaptive_xy_yx,uniform,0.01,2,19.4884
adaptive_xy_yx,uniform,0.01,3,19.4873
adaptive_xy_yx,uniform,0.01,4,19.5265
adaptive_xy_yx,uniform,0.02,0,19.5078
adaptive_xy_yx,uniform,0.02,1,19.5649
adaptive_xy_yx,uniform,0.02,2,19.5324
adaptive_xy_yx,uniform,0.02,3,19.5465
adaptive_xy_yx,uniform,0.02,4,19.5534
adaptive_xy_yx,uniform,0.05,0,19.6525
adaptive_xy_yx,uniform,0.05,1,19.6652
adaptive_xy_yx,uniform,0.05,2,19.6437
adaptive_xy_yx,uniform,0.05,3,19.6347
adaptive_xy_yx,uniform,0.05,4,19.6394
adaptive_xy_yx,uniform,0.1,0,20.0211
adaptive_xy_yx,uniform,0.1,1,20.0088
adaptive_xy_yx,uniform,0.1,2,20.0302
adaptive_xy_yx,uniform,0.1,3,20.0142
adaptive_xy_yx,uniform,0.1,4,20.0233
adaptive_xy_yx,uniform,0.2,0,22.27
adaptive_xy_yx,uniform,0.2,1,22.3055
adaptive_xy_yx,uniform,0.2,2,22.2791
adaptive_xy_yx,uniform,0.2,3,22.2983
adaptive_xy_yx,uniform,0.2,4,22.2999
adaptive_xy_yx,uniform,0.3,0,439.621
adaptive_xy_yx,uniform,0.3,1,464.096
adaptive_xy_yx,uniform,0.3,2,473.6
adaptive_xy_yx,uniform,0.3,3,437.029
adaptive_xy_yx,uniform,0.3,4,471.79
dor,hotspot,0.01,0,19.6634
dor,hotspot,0.01,1,19.6538
dor,hotspot,0.01,2,19.6853
dor,hotspot,0.01,3,19.671
dor,hotspot,0.01,4,19.6329
dor,hotspot,0.02,0,20.6188
dor,hotspot,0.02,1,20.6925
dor,hotspot,0.02,2,20.6508
dor,hotspot,0.02,3,20.6586
dor,hotspot,0.02,4,20.6707
dor,hotspot,0.05,0,478.158
dor,hotspot,0.05,1,562.43
dor,hotspot,0.05,2,489.386
dor,hotspot,0.05,3,509.906
dor,hotspot,0.05,4,569.542
dor,hotspot,0.1,0,437.674
dor,hotspot,0.1,1,479.449
dor,hotspot,0.1,2,471.373
dor,hotspot,0.1,3,475.414
dor,hotspot,0.1,4,473.931
dor,hotspot,0.2,0,600.421
dor,hotspot,0.2,1,653.036
dor,hotspot,0.2,2,640.16
dor,hotspot,0.2,3,651.553
dor,hotspot,0.2,4,640.048
dor,hotspot,0.3,0,656.49
dor,hotspot,0.3,1,747.089
dor,hotspot,0.3,2,389.871
dor,hotspot,0.3,3,771.188
dor,hotspot,0.3,4,750.044
dor,transpose,0.01,0,19.5408
dor,transpose,0.01,1,19.5322
dor,transpose,0.01,2,19.563
dor,transpose,0.01,3,19.5209
dor,transpose,0.01,4,19.5082
dor,transpose,0.02,0,19.5044
dor,transpose,0.02,1,19.5519
dor,transpose,0.02,2,19.5064
dor,transpose,0.02,3,19.515
dor,transpose,0.02,4,19.493
dor,transpose,0.05,0,19.6144
dor,transpose,0.05,1,19.5833
dor,transpose,0.05,2,19.5691
dor,transpose,0.05,3,19.5594
dor,transpose,0.05,4,19.5989
dor,transpose,0.1,0,20.4867
dor,transpose,0.1,1,20.5211
dor,transpose,0.1,2,20.4768
dor,transpose,0.1,3,20.4449
dor,transpose,0.1,4,20.4822
dor,transpose,0.2,0,483.597
dor,transpose,0.2,1,517.36
dor,transpose,0.2,2,483.41
dor,transpose,0.2,3,495.787
dor,transpose,0.2,4,525.506
dor,transpose,0.3,0,561.062
dor,transpose,0.3,1,519.405
dor,transpose,0.3,2,555.002
dor,transpose,0.3,3,585.829
dor,transpose,0.3,4,624.311
