timestamp,topology,algorithm,traffic,inj_rate,seed,avg_latency,min_latency,max_latency,status
20260514-221959,mesh44,dor,uniform,0.01,42,19.505,NA,NA,OK
20260514-221959,mesh44,dor,uniform,0.01,123,20.1504,NA,NA,OK
20260514-222000,mesh44,dor,uniform,0.01,456,19.6149,NA,NA,OK
20260514-222000,mesh44,dor,uniform,0.01,789,19.3511,NA,NA,OK
20260514-222000,mesh44,dor,uniform,0.01,999,20.2883,NA,NA,OK
20260514-222000,mesh44,dor,uniform,0.05,42,19.6806,NA,NA,OK
20260514-222000,mesh44,dor,uniform,0.05,123,19.1348,NA,NA,OK
20260514-222000,mesh44,dor,uniform,0.05,456,19.4924,NA,NA,OK
20260514-222001,mesh44,dor,uniform,0.05,789,19.6492,NA,NA,OK
20260514-222001,mesh44,dor,uniform,0.05,999,19.7314,NA,NA,OK
20260514-222001,mesh44,dor,uniform,0.1,42,19.4959,NA,NA,OK
20260514-222001,mesh44,dor,uniform,0.1,123,19.6215,NA,NA,OK
20260514-222002,mesh44,dor,uniform,0.1,456,19.383,NA,NA,OK
20260514-222002,mesh44,dor,uniform,0.1,789,19.7475,NA,NA,OK
20260514-222002,mesh44,dor,uniform,0.1,999,19.4617,NA,NA,OK
20260514-222003,mesh44,dor,uniform,0.2,42,19.9719,NA,NA,OK
20260514-222003,mesh44,dor,uniform,0.2,123,20.0892,NA,NA,OK
20260514-222003,mesh44,dor,uniform,0.2,456,19.8876,NA,NA,OK
20260514-222004,mesh44,dor,uniform,0.2,789,20.0234,NA,NA,OK
20260514-222004,mesh44,dor,uniform,0.2,999,19.8355,NA,NA,OK
20260514-222005,mesh44,dor,uniform,0.3,42,21.1631,NA,NA,OK
20260514-222005,mesh44,dor,uniform,0.3,123,20.9456,NA,NA,OK
20260514-222006,mesh44,dor,uniform,0.3,456,21.0818,NA,NA,OK
20260514-222007,mesh44,dor,uniform,0.3,789,20.9818,NA,NA,OK
20260514-222007,mesh44,dor,uniform,0.3,999,21.0024,NA,NA,OK
20260514-222008,mesh44,dor,uniform,0.35,42,23.6413,NA,NA,OK
20260514-222009,mesh44,dor,uniform,0.35,123,23.3732,NA,NA,OK
20260514-222010,mesh44,dor,uniform,0.35,456,23.6827,NA,NA,OK
20260514-222011,mesh44,dor,uniform,0.35,789,24.2674,NA,NA,OK
20260514-222012,mesh44,dor,uniform,0.35,999,22.9223,NA,NA,OK
20260514-222012,mesh44,dor,uniform,0.4,42,49.9832,NA,NA,OK
20260514-222013,mesh44,dor,uniform,0.4,123,46.9144,NA,NA,OK
20260514-222015,mesh44,dor,uniform,0.4,456,68.7402,NA,NA,OK
20260514-222016,mesh44,dor,uniform,0.4,789,63.6759,NA,NA,OK
20260514-222017,mesh44,dor,uniform,0.4,999,56.0448,NA,NA,OK
20260514-222018,mesh44,dor,uniform,0.45,42,142.595,NA,NA,OK
20260514-222019,mesh44,dor,uniform,0.45,123,148.263,NA,NA,OK
20260514-222019,mesh44,dor,uniform,0.45,456,159.229,NA,NA,OK
20260514-222019,mesh44,dor,uniform,0.45,789,144.299,NA,NA,OK
20260514-222020,mesh44,dor,uniform,0.45,999,164.304,NA,NA,OK
20260514-222020,mesh44,dor,hotspot,0.01,42,18.3003,NA,NA,OK
20260514-222020,mesh44,dor,hotspot,0.01,123,19.9286,NA,NA,OK
20260514-222020,mesh44,dor,hotspot,0.01,456,20.0354,NA,NA,OK
20260514-222020,mesh44,dor,hotspot,0.01,789,19.7438,NA,NA,OK
20260514-222021,mesh44,dor,hotspot,0.01,999,19.5491,NA,NA,OK
20260514-222021,mesh44,dor,hotspot,0.05,42,120.461,NA,NA,OK
20260514-222021,mesh44,dor,hotspot,0.05,123,110.246,NA,NA,OK
20260514-222021,mesh44,dor,hotspot,0.05,456,140.47,NA,NA,OK
20260514-222021,mesh44,dor,hotspot,0.05,789,105.413,NA,NA,OK
20260514-222021,mesh44,dor,hotspot,0.05,999,108.782,NA,NA,OK
20260514-222021,mesh44,dor,hotspot,0.1,42,393.775,NA,NA,OK
20260514-222021,mesh44,dor,hotspot,0.1,123,382.636,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.1,456,394.588,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.1,789,355.09,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.1,999,371.833,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.2,42,622.304,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.2,123,596.14,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.2,456,616.747,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.2,789,583.594,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.2,999,587.535,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.3,42,733.624,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.3,123,742.334,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.3,456,738.816,NA,NA,OK
20260514-222022,mesh44,dor,hotspot,0.3,789,746.289,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.3,999,731.631,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.35,42,771.817,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.35,123,775.029,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.35,456,773.137,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.35,789,786.221,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.35,999,759.641,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.4,42,799.298,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.4,123,806.035,NA,NA,OK
20260514-222023,mesh44,dor,hotspot,0.4,456,809.789,NA,NA,OK
