topology,algorithm,traffic,inj_rate,avg_latency,status
mesh44,dor,uniform,0.01,,FAILED
mesh44,dor,uniform,0.02,,FAILED
mesh44,dor,uniform,0.05,,FAILED
mesh44,dor,uniform,0.1,,FAILED
mesh44,dor,uniform,0.15,,FAILED
mesh44,dor,uniform,0.2,,FAILED
mesh44,dor,uniform,0.3,,FAILED
mesh44,dor,uniform,0.4,,FAILED
mesh44,dor,uniform,0.5,,FAILED
mesh44,dor,transpose,0.01,,FAILED
mesh44,dor,transpose,0.02,,FAILED
mesh44,dor,transpose,0.05,,FAILED
mesh44,dor,transpose,0.1,,FAILED
mesh44,dor,transpose,0.15,,FAILED
mesh44,dor,transpose,0.2,,FAILED
mesh44,dor,transpose,0.3,,FAILED
mesh44,dor,transpose,0.4,,FAILED
mesh44,dor,transpose,0.5,,FAILED
mesh44,dor,hotspot,0.01,,FAILED
mesh44,dor,hotspot,0.02,,FAILED
mesh44,dor,hotspot,0.05,,FAILED
mesh44,dor,hotspot,0.1,,FAILED
mesh44,dor,hotspot,0.15,,FAILED
mesh44,dor,hotspot,0.2,,FAILED
mesh44,dor,hotspot,0.3,,FAILED
mesh44,dor,hotspot,0.4,,FAILED
mesh44,dor,hotspot,0.5,,FAILED
mesh44,adaptive_xy_yx,uniform,0.01,,FAILED
mesh44,adaptive_xy_yx,uniform,0.02,,FAILED
mesh44,adaptive_xy_yx,uniform,0.05,,FAILED
mesh44,adaptive_xy_yx,uniform,0.1,,FAILED
mesh44,adaptive_xy_yx,uniform,0.15,,FAILED
mesh44,adaptive_xy_yx,uniform,0.2,,FAILED
mesh44,adaptive_xy_yx,uniform,0.3,,FAILED
mesh44,adaptive_xy_yx,uniform,0.4,,FAILED
mesh44,adaptive_xy_yx,uniform,0.5,,FAILED
mesh44,adaptive_xy_yx,transpose,0.01,,FAILED
mesh44,adaptive_xy_yx,transpose,0.02,,FAILED
mesh44,adaptive_xy_yx,transpose,0.05,,FAILED
mesh44,adaptive_xy_yx,transpose,0.1,,FAILED
mesh44,adaptive_xy_yx,transpose,0.15,,FAILED
mesh44,adaptive_xy_yx,transpose,0.2,,FAILED
mesh44,adaptive_xy_yx,transpose,0.3,,FAILED
mesh44,adaptive_xy_yx,transpose,0.4,,FAILED
mesh44,adaptive_xy_yx,transpose,0.5,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.01,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.02,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.05,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.1,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.15,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.2,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.3,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.4,,FAILED
mesh44,adaptive_xy_yx,hotspot,0.5,,FAILED
mesh44,min_adapt,uniform,0.01,,FAILED
mesh44,min_adapt,uniform,0.02,,FAILED
mesh44,min_adapt,uniform,0.05,,FAILED
mesh44,min_adapt,uniform,0.1,,FAILED
mesh44,min_adapt,uniform,0.15,,FAILED
mesh44,min_adapt,uniform,0.2,,FAILED
mesh44,min_adapt,uniform,0.3,,FAILED
mesh44,min_adapt,uniform,0.4,,FAILED
mesh44,min_adapt,uniform,0.5,,FAILED
mesh44,min_adapt,transpose,0.01,,FAILED
mesh44,min_adapt,transpose,0.02,,FAILED
mesh44,min_adapt,transpose,0.05,,FAILED
mesh44,min_adapt,transpose,0.1,,FAILED
mesh44,min_adapt,transpose,0.15,,FAILED
mesh44,min_adapt,transpose,0.2,,FAILED
mesh44,min_adapt,transpose,0.3,,FAILED
mesh44,min_adapt,transpose,0.4,,FAILED
mesh44,min_adapt,transpose,0.5,,FAILED
mesh44,min_adapt,hotspot,0.01,,FAILED
mesh44,min_adapt,hotspot,0.02,,FAILED
mesh44,min_adapt,hotspot,0.05,,FAILED
mesh44,min_adapt,hotspot,0.1,,FAILED
mesh44,min_adapt,hotspot,0.15,,FAILED
mesh44,min_adapt,hotspot,0.2,,FAILED
mesh44,min_adapt,hotspot,0.3,,FAILED
mesh44,min_adapt,hotspot,0.4,,FAILED
mesh44,min_adapt,hotspot,0.5,,FAILED
mesh44,valiant,uniform,0.01,,FAILED
mesh44,valiant,uniform,0.02,,FAILED
mesh44,valiant,uniform,0.05,,FAILED
mesh44,valiant,uniform,0.1,,FAILED
mesh44,valiant,uniform,0.15,,FAILED
mesh44,valiant,uniform,0.2,,FAILED
mesh44,valiant,uniform,0.3,,FAILED
mesh44,valiant,uniform,0.4,,FAILED
mesh44,valiant,uniform,0.5,,FAILED
mesh44,valiant,transpose,0.01,,FAILED
mesh44,valiant,transpose,0.02,,FAILED
mesh44,valiant,transpose,0.05,,FAILED
mesh44,valiant,transpose,0.1,,FAILED
mesh44,valiant,transpose,0.15,,FAILED
mesh44,valiant,transpose,0.2,,FAILED
mesh44,valiant,transpose,0.3,,FAILED
mesh44,valiant,transpose,0.4,,FAILED
mesh44,valiant,transpose,0.5,,FAILED
mesh44,valiant,hotspot,0.01,,FAILED
mesh44,valiant,hotspot,0.02,,FAILED
mesh44,valiant,hotspot,0.05,,FAILED
mesh44,valiant,hotspot,0.1,,FAILED
mesh44,valiant,hotspot,0.15,,FAILED
mesh44,valiant,hotspot,0.2,,FAILED
mesh44,valiant,hotspot,0.3,,FAILED
mesh44,valiant,hotspot,0.4,,FAILED
mesh44,valiant,hotspot,0.5,,FAILED
mesh88,dor,uniform,0.01,,FAILED
mesh88,dor,uniform,0.02,,FAILED
mesh88,dor,uniform,0.05,,FAILED
mesh88,dor,uniform,0.1,,FAILED
mesh88,dor,uniform,0.15,,FAILED
mesh88,dor,uniform,0.2,,FAILED
mesh88,dor,uniform,0.3,,FAILED
mesh88,dor,uniform,0.4,,FAILED
mesh88,dor,uniform,0.5,,FAILED
mesh88,dor,transpose,0.01,,FAILED
mesh88,dor,transpose,0.02,,FAILED
mesh88,dor,transpose,0.05,,FAILED
mesh88,dor,transpose,0.1,,FAILED
mesh88,dor,transpose,0.15,,FAILED
mesh88,dor,transpose,0.2,,FAILED
mesh88,dor,transpose,0.3,,FAILED
mesh88,dor,transpose,0.4,,FAILED
mesh88,dor,transpose,0.5,,FAILED
mesh88,dor,hotspot,0.01,,FAILED
mesh88,dor,hotspot,0.02,,FAILED
mesh88,dor,hotspot,0.05,,FAILED
mesh88,dor,hotspot,0.1,,FAILED
mesh88,dor,hotspot,0.15,,FAILED
mesh88,dor,hotspot,0.2,,FAILED
mesh88,dor,hotspot,0.3,,FAILED
mesh88,dor,hotspot,0.4,,FAILED
mesh88,dor,hotspot,0.5,,FAILED
mesh88,adaptive_xy_yx,uniform,0.01,,FAILED
mesh88,adaptive_xy_yx,uniform,0.02,,FAILED
mesh88,adaptive_xy_yx,uniform,0.05,,FAILED
mesh88,adaptive_xy_yx,uniform,0.1,,FAILED
mesh88,adaptive_xy_yx,uniform,0.15,,FAILED
mesh88,adaptive_xy_yx,uniform,0.2,,FAILED
mesh88,adaptive_xy_yx,uniform,0.3,,FAILED
mesh88,adaptive_xy_yx,uniform,0.4,,FAILED
mesh88,adaptive_xy_yx,uniform,0.5,,FAILED
mesh88,adaptive_xy_yx,transpose,0.01,,FAILED
mesh88,adaptive_xy_yx,transpose,0.02,,FAILED
mesh88,adaptive_xy_yx,transpose,0.05,,FAILED
mesh88,adaptive_xy_yx,transpose,0.1,,FAILED
mesh88,adaptive_xy_yx,transpose,0.15,,FAILED
mesh88,adaptive_xy_yx,transpose,0.2,,FAILED
mesh88,adaptive_xy_yx,transpose,0.3,,FAILED
mesh88,adaptive_xy_yx,transpose,0.4,,FAILED
mesh88,adaptive_xy_yx,transpose,0.5,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.01,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.02,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.05,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.1,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.15,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.2,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.3,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.4,,FAILED
mesh88,adaptive_xy_yx,hotspot,0.5,,FAILED
mesh88,min_adapt,uniform,0.01,,FAILED
mesh88,min_adapt,uniform,0.02,,FAILED
mesh88,min_adapt,uniform,0.05,,FAILED
mesh88,min_adapt,uniform,0.1,,FAILED
mesh88,min_adapt,uniform,0.15,,FAILED
mesh88,min_adapt,uniform,0.2,,FAILED
mesh88,min_adapt,uniform,0.3,,FAILED
mesh88,min_adapt,uniform,0.4,,FAILED
mesh88,min_adapt,uniform,0.5,,FAILED
mesh88,min_adapt,transpose,0.01,,FAILED
mesh88,min_adapt,transpose,0.02,,FAILED
mesh88,min_adapt,transpose,0.05,,FAILED
mesh88,min_adapt,transpose,0.1,,FAILED
mesh88,min_adapt,transpose,0.15,,FAILED
mesh88,min_adapt,transpose,0.2,,FAILED
mesh88,min_adapt,transpose,0.3,,FAILED
mesh88,min_adapt,transpose,0.4,,FAILED
mesh88,min_adapt,transpose,0.5,,FAILED
mesh88,min_adapt,hotspot,0.01,,FAILED
mesh88,min_adapt,hotspot,0.02,,FAILED
mesh88,min_adapt,hotspot,0.05,,FAILED
mesh88,min_adapt,hotspot,0.1,,FAILED
mesh88,min_adapt,hotspot,0.15,,FAILED
mesh88,min_adapt,hotspot,0.2,,FAILED
mesh88,min_adapt,hotspot,0.3,,FAILED
mesh88,min_adapt,hotspot,0.4,,FAILED
mesh88,min_adapt,hotspot,0.5,,FAILED
mesh88,valiant,uniform,0.01,,FAILED
mesh88,valiant,uniform,0.02,,FAILED
mesh88,valiant,uniform,0.05,,FAILED
mesh88,valiant,uniform,0.1,,FAILED
mesh88,valiant,uniform,0.15,,FAILED
mesh88,valiant,uniform,0.2,,FAILED
mesh88,valiant,uniform,0.3,,FAILED
mesh88,valiant,uniform,0.4,,FAILED
mesh88,valiant,uniform,0.5,,FAILED
mesh88,valiant,transpose,0.01,,FAILED
